campo,idx_treino,idx_teste,preds,y_test,modelo,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"range(0, 128)","range(128, 161)","[0.91030214 0.93707566 0.94095357 0.93561549 0.92788432 0.89624588
 0.94899562 0.90939844 0.97523    0.94915818 0.93442055 0.93434199
 0.94881133 0.94623975 0.9542261  0.96646223 0.97980189 1.00416598
 0.98961593 1.01765004 0.99706755 1.01886468 1.03543525 1.04524605
 1.04834834 1.05930874 1.06540055 1.06953264 1.07315586 1.07169536
 1.08817943 1.08502656 1.10429239]","[0.82140665 0.76479138 0.86511083 0.8571311  0.75757554 0.80289598
 0.81084726 0.8297371  0.82346132 0.85377112 0.85844548 0.85439249
 0.83676574 0.78795702 0.80459745 0.83193882 0.75785581 0.8434872
 0.77280417 0.72227347 0.64351217 0.75778496 0.75073544 0.79999515
 0.81056866 0.73220629 0.78028983 0.7492065  0.69348953 0.79195068
 0.74952564 0.77791314 0.71194091]"," ARIMA(0,1,1)(1,0,1)[12] intercept",0.051864083360364285,0.22773687308023768,0.2049025352772429,0.00790240672644609,0.08889548203618725,0.08889548203618725
BAÚNA,"range(0, 120)","range(120, 150)","[0.20110994 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994
 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994
 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994
 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994
 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994 0.20110994]","[0.19755082 0.10235966 0.19735766 0.15933357 0.17303511 0.18796314
 0.19050858 0.19034724 0.17672157 0.1843287  0.17163493 0.18054846
 0.17719819 0.15644074 0.12611575 0.16999715 0.16703527 0.13562437
 0.18975051 0.16645128 0.20662287 0.3169327  0.28520097 0.30855754
 0.29159577 0.24067601 0.33410612 0.         0.3312332  0.40446563]"," ARIMA(0,1,0)(0,0,0)[12]          ",0.00630177772722794,0.07938373717095927,0.05774691217680577,1.2667337175451958e-05,0.0035591202811161016,0.0035591202811161016
URUGUÁ,"range(0, 116)","range(116, 146)","[0.10951538 0.13429925 0.1466802  0.15286518 0.15595494 0.15749844
 0.15826951 0.15865471 0.15884713 0.15894326 0.15899128 0.15901527
 0.15902725 0.15903324 0.15903623 0.15903772 0.15903847 0.15903884
 0.15903903 0.15903912 0.15903917 0.15903919 0.1590392  0.15903921
 0.15903921 0.15903921 0.15903922 0.15903922 0.15903922 0.15903922]","[0.35896388 0.12684958 0.19266168 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11086901 0.24230927 0.01573837 0.         0.         0.
 0.00190284 0.24655695 0.34908613 0.39978749 0.22361408 0.40787093
 0.39812164 0.3274734  0.33301458 0.29678753 0.28039806 0.32533035]"," ARIMA(1,1,1)(0,0,0)[12]          ",0.025450230168808693,0.15953128272789852,0.14898375661733626,0.06222455426638291,0.2494485002287705,0.2494485002287705
SAPINHOÁ,"range(0, 100)","range(100, 126)","[0.74349729 0.74200738 0.74029204 0.7461253  0.6058288  0.65711087
 0.69942769 0.70675703 0.73957587 0.67895924 0.70726093 0.71709743
 0.71430774 0.7137291  0.71306291 0.7153284  0.66084091 0.68075752
 0.69719227 0.70003879 0.71278477 0.68924286 0.70023449 0.70405473
 0.70297129 0.70274656]","[0.75844551 0.73744978 0.77827122 0.7791194  0.73234838 0.70307107
 0.615925   0.57436378 0.71314932 0.60403079 0.74352072 0.71303599
 0.71169527 0.68680641 0.6835306  0.70260974 0.6634814  0.6501921
 0.4376623  0.64258443 0.59321199 0.57391452 0.64913106 0.63596624
 0.64755861 0.65137686]"," ARIMA(0,1,1)(1,0,0)[12]          ",0.006421471671658697,0.08013408557947546,0.0578224167307079,0.0002234493422480842,0.014948222043041914,0.014948222043041914
MEXILHÃO,"range(0, 109)","range(109, 137)","[0.47345873 0.48633585 0.48633585 0.48633585 0.48633585 0.48633585
 0.48633585 0.48633585 0.48633585 0.48633585 0.48633585 0.48633585
 0.48633585 0.48633585 0.48633585 0.48633585 0.48633585 0.48633585
 0.48633585 0.48633585 0.48633585 0.48633585 0.48633585 0.48633585
 0.48633585 0.48633585 0.48633585 0.48633585]","[0.44390207 0.43251934 0.48941638 0.47282771 0.49750307 0.44042972
 0.         0.39956724 0.45938481 0.45213186 0.44014465 0.40219211
 0.47167083 0.47216684 0.4573919  0.41858502 0.44085504 0.43398848
 0.41465473 0.42120785 0.40331733 0.39275077 0.37513253 0.30389606
 0.34168883 0.30570061 0.34036381 0.32952122]"," ARIMA(0,1,2)(0,0,0)[12]          ",0.01579067218930122,0.125660941383157,0.08500397702173938,0.0008735964451661256,0.029556664987209325,0.029556664987209325
LAPA,"range(0, 71)","range(71, 89)",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.96554665 0.86519583 0.9473008  0.93585413 0.96287397 0.92768651
 0.96796038 0.9514235  0.89674663 0.93919185 0.46374861 0.33425208
 0.55610163 0.63483639 0.8030557  0.75220403 0.78992046 0.75456683]"," ARIMA(0,1,0)(0,0,0)[12]          ",0.07313003413640491,0.27042565362111065,0.19730744580856566,0.001187033604619993,0.034453354040209105,0.034453354040209105
TAMBAÚ,"range(0, 97)","range(97, 122)","[0.05307745 0.05722458 0.10179259 0.1138863  0.11875023 0.1220285
 0.12382832 0.12492712 0.12329628 0.12230792 0.12212137 0.11968782
 0.11461031 0.11138937 0.10934615 0.10805003 0.10722782 0.10670626
 0.1063754  0.10616552 0.10603238 0.10594792 0.10589435 0.10586036
 0.1058388 ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0169977
 0.         0.         0.01012596 0.         0.         0.01794143
 0.02742164]"," ARIMA(1,0,0)(0,0,1)[12] intercept",0.011423155425746226,0.10687916272944051,0.10519545647623291,0.0028172156997841855,0.05307745001207373,0.05307745001207373
BÚZIOS,"range(0, 84)","range(84, 106)","[0.89844184 0.90916358 0.91988532 0.93060705 0.94132879 0.95205053
 0.96277227 0.97349401 0.98421575 0.99493749 1.00565923 1.01638097
 1.0271027  1.03782444 1.04854618 1.05926792 1.06998966 1.0807114
 1.09143314 1.10215488 1.11287662 1.12359835]","[0.23425834 0.19933104 0.2434632  0.24668037 0.23841594 0.21205701
 0.23963003 0.24050536 0.24220184 0.25312925 0.24404845 0.24456183
 0.22170839 0.24544853 0.23913124 0.21747318 0.24777248 0.23378665
 0.20947351 0.23871782 0.23047855 0.2571929 ]"," ARIMA(0,1,1)(0,0,0)[12] intercept",0.6061401159413573,0.7785500086323018,0.7755898264184604,0.44113971808022945,0.6641834972959125,0.6641834972959125
SÉPIA,"range(0, 80)","range(80, 101)","[0.54473625 0.70469726 0.86465827 1.02461928 1.1845803  1.34454131
 1.50450232 1.66446334 1.82442435 1.98438536 2.14434638 2.30430739
 2.4642684  2.62422942 2.78419043 2.94415144 3.10411246 3.26407347
 3.42403448 3.5839955  3.74395651]","[0.39721009 0.32472256 0.35110532 1.         0.95335931 0.99385985
 0.98531848 0.445311   0.41899627 0.41549256 0.41592533 0.40326611
 0.37847826 0.42103731 0.43245353 0.4205217  0.37821085 0.41865055
 0.39737422 0.4121335  0.40394098]"," ARIMA(0,2,1)(0,0,0)[12]          ",3.8289936940824885,1.9567814630363014,1.631614577392996,0.021763966801353733,0.14752615632949206,0.14752615632949206
BERBIGÃO,"range(0, 79)","range(79, 99)","[0.35557298 0.35557298 0.35557298 0.35557298 0.35557298 0.35557298
 0.35557298 0.35557298 0.35557298 0.35557298 0.35557298 0.35557298
 0.35557298 0.35557298 0.35557298 0.35557298 0.35557298 0.35557298
 0.35557298 0.35557298]","[0.47214629 0.36579265 0.58157171 0.42680089 0.54498707 0.54506159
 0.52622075 0.64469904 0.9188768  0.90020487 0.82950609 0.76855716
 0.53356211 0.59229599 0.83777264 0.76852252 0.68428053 0.39999428
 0.84530481 0.7892361 ]"," ARIMA(0,1,0)(0,0,0)[12]          ",0.11460645216038187,0.3385357472415312,0.2931967160645822,0.013589337109356777,0.11657331216602185,0.11657331216602185
ITAPU,"range(0, 59)","range(59, 74)",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 0.         0.         0.2389131  0.69655628 0.63215321 0.68072907
 0.6787139  0.70147207 1.        ]"," ARIMA(1,0,0)(0,0,0)[12]          ",0.22386636642570004,0.4731451853561442,0.30856917578085974,0.0,0.0,0.0
ATAPU,"range(0, 71)","range(71, 89)","[0.9999655  1.01974677 1.23961552 1.25789771 1.33878254 1.45508039
 1.6850609  1.80322611 1.79862753 1.82775643 1.81451476 1.88154588
 1.89802874 1.93432737 2.17071348 2.20551304 2.30291523 2.43573044]","[0.98473418 0.58439222 0.59413144 0.94356994 0.40918817 0.35176604
 0.35695076 0.37948441 0.3700975  0.37014782 0.37171688 0.36809157
 0.34075597 0.31191576 0.37795386 0.37895301 0.38652625 0.31493882]"," ARIMA(0,2,1)(0,1,0)[12]          ",1.938502408286496,1.3923011198323787,1.2707629852358555,0.00023199306062976632,0.015231318414036465,0.015231318414036465
MERO,"range(0, 47)","range(47, 59)","[0.19733711 0.19733711 0.19733711 0.19733711 0.19733711 0.19733711
 0.19733711 0.19733711 0.19733711 0.19733711 0.19733711 0.19733711]","[0.40588578 0.52457604 0.38086134 0.83344652 0.79863789 0.8830256
 1.         0.91649278 0.5782811  0.60097078 0.98139983 0.95206993]"," ARIMA(0,1,1)(0,0,0)[12]          ",0.33954105112732763,0.5827015111764579,0.5406335268417372,0.04349255151989711,0.208548679017387,0.208548679017387
ATLANTA,"range(0, 44)","range(44, 56)","[0.37940439 0.36213105 0.35364376 0.36240092 0.36140069 0.35375431
 0.35553387 0.356106   0.35223851 0.35102602 0.35108357 0.34903491]","[0.01088695 0.09926171 0.17313069 0.48063063 0.40544711 0.42239906
 0.40181087 0.30278771 0.28566559 0.66224939 0.09953552 0.13446925]"," ARIMA(3,2,0)(0,0,0)[12]          ",0.03947600011659844,0.19868568171007805,0.16552716868548947,0.13580510475445612,0.36851744158785227,0.36851744158785227
NOROESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.47600709 0.48757767 0.49565327 0.49422381 0.50264766 0.50640695
 0.51011126 0.51583591 0.51980349 0.52446532]","[0.42122022 0.39643163 0.         0.38224112 0.29014715 0.25415121
 0.39445255 0.36989636 0.39151978 0.39864126]"," ARIMA(2,2,0)(0,0,0)[12]          ",0.044527460165789,0.21101530789444872,0.17340311426833668,0.0030016018570212907,0.05478687668613069,0.05478687668613069
NORDESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.47641068 0.48799438 0.49607293 0.49463561 0.50306741 0.50682467
 0.51052877 0.51625634 0.52022298 0.52488602]","[0.42158757 0.39677735 0.         0.38257422 0.29039952 0.25437202
 0.39479545 0.37021826 0.39186004 0.39898866]"," ARIMA(2,2,0)(0,0,0)[12]          ",0.04459807080979962,0.21118255327985694,0.1735326705166166,0.0030055732888258266,0.05482310907660953,0.05482310907660953
SUDOESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.47629769 0.48787882 0.49595606 0.49452328 0.50295313 0.50671164
 0.51041729 0.51614449 0.52011243 0.52477615]","[0.42148289 0.3966789  0.         0.38247951 0.29032767 0.2543096
 0.39469853 0.37012673 0.39176376 0.39889027]"," ARIMA(2,2,0)(0,0,0)[12]          ",0.04457973487283493,0.211139136288929,0.17350131406058975,0.003004661689481567,0.054814794439836834,0.054814794439836834
SUL DE TUPI,"range(0, 34)","range(34, 43)","[0.67742113 0.62685319 0.63521355 0.6690939  0.61706876 0.67550199
 0.58406213 0.53158878 0.4870761 ]","[0.78813176 0.73805851 0.75958013 0.68785673 0.65962121 0.79099043
 0.7445496  0.75028113 0.68278646]"," ARIMA(3,2,2)(0,0,1)[12]          ",0.018608439965566128,0.13641275587556367,0.12199737838731384,0.012256843583539402,0.11071062994825476,0.11071062994825476
AnC_TUPI,"range(0, 32)","range(32, 41)","[0.4152363  0.62756319 0.63900599 0.75159071 0.77677429 0.91876881
 0.95330541 1.05503124 1.10983778]","[0.50818944 0.39195425 0.44191247 0.27542115 0.2098786  0.51482515
 0.40702207 0.42032706 0.26365107]"," ARIMA(3,2,0)(0,0,0)[12]          ",0.24795368893701722,0.49794948432247343,0.4444265259112583,0.008640286043911856,0.09295313896750262,0.09295313896750262
TAMBUATÁ,"range(0, 28)","range(28, 35)","[0.79877049 0.78731942 0.78309023 0.78152829 0.78095142 0.78073836
 0.78065968]","[0.66275808 0.89641332 0.78856056 0.60106794 0.82658766 0.7630499
 0.96905958]"," ARIMA(1,0,0)(0,0,0)[12] intercept",0.014412398085776653,0.12005164757626882,0.09753736918249542,0.018499374861434693,0.13601240701287032,0.13601240701287032
