campo,preds,y_test,mse,rmse,mae,mse_1,rmse_1,mae_1
TUPI,"[0.92123443 0.97478953 0.96562867 0.88240595 0.9059659  0.89060458
 0.89658954 0.89052906 0.87451341 0.88941426 0.8834137  0.81673436
 0.77905227 0.79790026 0.83345888 0.80989825 0.76946753 0.76465444
 0.79693456 0.83279322 0.79845825 0.82546168 0.87677851 0.89998714
 0.88847004 0.87965024 0.89425601 0.87464604 0.89065034 0.87753757
 0.79678801 0.8031099  0.78415661 0.79075495 0.80689126]","[0.93468533 0.85867212 0.82140665 0.76479138 0.86511083 0.8571311
 0.75757554 0.80289598 0.81084726 0.8297371  0.82346132 0.85377112
 0.85844548 0.85439249 0.83676574 0.78795702 0.80459745 0.83193882
 0.75785581 0.8434872  0.77280417 0.72227347 0.64351217 0.75778496
 0.75073544 0.79999515 0.81056866 0.73220629 0.78028983 0.7492065
 0.69348953 0.79195068 0.74952564 0.77791314 0.71194091]",0.008469547847846455,0.09203014640782908,0.07626953071479343,0.00018092671301139603,0.013450900081830808,0.013450900081830808
BAÚNA,"[0.1719499  0.16374998 0.15553453 0.15335274 0.17409202 0.17809799
 0.15742873 0.17102962 0.21851516 0.20271908 0.18404126 0.20198533
 0.20091884 0.18600428 0.16454099 0.14888167 0.14042414 0.14144301
 0.15917364 0.15515195 0.15309547 0.1901149  0.17174864 0.17948156
 0.29933041 0.30129827 0.29418241 0.32153557 0.31086714 0.32724949
 0.33949506 0.36214587]","[0.19426939 0.20110994 0.19755082 0.10235966 0.19735766 0.15933357
 0.17303511 0.18796314 0.19050858 0.19034724 0.17672157 0.1843287
 0.17163493 0.18054846 0.17719819 0.15644074 0.12611575 0.16999715
 0.16703527 0.13562437 0.18975051 0.16645128 0.20662287 0.3169327
 0.28520097 0.30855754 0.29159577 0.24067601 0.33410612 0.
 0.3312332  0.40446563]",0.004682978006650746,0.06843228774964889,0.036136572471607155,0.0004981596066989969,0.02231948939153844,0.02231948939153844
URUGUÁ,"[0.05732893 0.2235367  0.34908706 0.34438789 0.19607392 0.09759601
 0.1460845  0.16875826 0.16268324 0.16851884 0.10425677 0.0500059
 0.03792605 0.0171669  0.04029011 0.02439586 0.18607781 0.1489333
 0.05308843 0.07057337 0.17046883 0.18173194 0.22913317 0.27966535
 0.33134893 0.31348166 0.39037301 0.37656096 0.33087191 0.28250334
 0.21159459 0.21453644]","[0.         0.05990367 0.35896388 0.12684958 0.19266168 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.11086901 0.24230927 0.01573837 0.
 0.         0.         0.00190284 0.24655695 0.34908613 0.39978749
 0.22361408 0.40787093 0.39812164 0.3274734  0.33301458 0.29678753
 0.28039806 0.32533035]",0.013122149345108636,0.1145519504203601,0.09577072925322247,0.0032866056496013486,0.05732892506929943,0.05732892506929943
SAPINHOÁ,"[0.70405187 0.77061966 0.76638322 0.84134565 0.71322386 0.70328267
 0.71769361 0.83381054 0.70923757 0.71120854 0.74841183 0.68657085
 0.70260379 0.72105145 0.72239407 0.74056337 0.75006559 0.80868408
 0.69573767 0.74639325 0.63512233 0.66727771 0.70170126 0.65895286
 0.6629234  0.62195057 0.68878504 0.74780117]","[0.72535288 0.75068027 0.75844551 0.73744978 0.77827122 0.7791194
 0.73234838 0.70307107 0.615925   0.57436378 0.71314932 0.60403079
 0.74352072 0.71303599 0.71169527 0.68680641 0.6835306  0.70260974
 0.6634814  0.6501921  0.4376623  0.64258443 0.59321199 0.57391452
 0.64913106 0.63596624 0.64755861 0.65137686]",0.006256812614241333,0.07910001652491189,0.06367524159836008,0.0004537327644210161,0.021301003835993648,0.021301003835993648
MEXILHÃO,"[0.49443026 0.48324209 0.44290874 0.41350711 0.37604534 0.44110112
 0.48070321 0.45024036 0.44448179 0.43761281 0.58002858 0.54448714
 0.49822283 0.61282327 0.5412273  0.55915733 0.55332154 0.55987696
 0.49691372 0.43368722 0.44970237 0.45170457 0.43792061 0.44348844
 0.39440978 0.36108056 0.34274297 0.34351689 0.30737073 0.31643365]","[0.50854892 0.44042944 0.44390207 0.43251934 0.48941638 0.47282771
 0.49750307 0.44042972 0.         0.39956724 0.45938481 0.45213186
 0.44014465 0.40219211 0.47167083 0.47216684 0.4573919  0.41858502
 0.44085504 0.43398848 0.41465473 0.42120785 0.40331733 0.39275077
 0.37513253 0.30389606 0.34168883 0.30570061 0.34036381 0.32952122]",0.011448135648902374,0.10699596089994413,0.06584357881767444,0.0001993367492848479,0.014118666696428805,0.014118666696428805
LAPA,"[0.97897102 0.71891264 0.66033847 0.82025102 0.68857174 0.73545434
 0.89035222 0.80572288 0.86581099 1.00306277 0.78997772 0.75283028
 0.76511742 0.63064464 0.52593851 0.68203787 0.65575967 0.57637251
 0.60220366 0.59881604]","[0.56809829 1.         0.96554665 0.86519583 0.9473008  0.93585413
 0.96287397 0.92768651 0.96796038 0.9514235  0.89674663 0.93919185
 0.46374861 0.33425208 0.55610163 0.63483639 0.8030557  0.75220403
 0.78992046 0.75456683]",0.04116917505430752,0.20290188529017544,0.17421837716184568,0.1688163982949318,0.4108727276115218,0.4108727276115218
TAMBAÚ,"[0.10784873 0.14083294 0.18233362 0.18233362 0.18233362 0.18233362
 0.18233362 0.18233362 0.18233362 0.18233362 0.18233362 0.18233362
 0.18233362 0.18233362 0.18233362 0.18233362 0.18233362 0.18233362
 0.18233362 0.18233362 0.16717391 0.17330956 0.18971117 0.17628242
 0.17553721 0.19683492 0.17535032]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0169977  0.         0.         0.01012596 0.
 0.         0.01794143 0.02742164]",0.030740160457038684,0.1753287211412856,0.17453332102820984,0.011631348245227817,0.10784872852856364,0.10784872852856364
BÚZIOS,"[0.84270598 0.8299687  0.81761592 0.91656038 0.93529868 0.85723198
 0.85953489 0.94149284 0.78471462 0.60400741 0.68025892 0.5650267
 0.31730593 0.27701115 0.24919019 0.27528462 0.31267415 0.27280894
 0.25110305 0.28207669 0.26746659 0.25552361 0.29670463 0.28345243]","[0.93238241 0.87598702 0.23425834 0.19933104 0.2434632  0.24668037
 0.23841594 0.21205701 0.23963003 0.24050536 0.24220184 0.25312925
 0.24404845 0.24456183 0.22170839 0.24544853 0.23913124 0.21747318
 0.24777248 0.23378665 0.20947351 0.23871782 0.23047855 0.2571929 ]",0.14084096810845473,0.37528784700340984,0.2607738801566883,0.008041862644113522,0.08967643304744854,0.08967643304744854
SÉPIA,"[1.15214366e-10 1.00351654e-01 1.03708397e-01 6.52456653e-02
 8.03201996e-02 1.46950109e-01 1.25886983e-01 6.34363073e-02
 4.16459183e-02 1.10198746e-01 8.87122950e-02 3.96200473e-02
 3.93676547e-02 2.30394449e-04 1.38136908e-02 5.84969159e-02
 4.06201715e-02 5.75393946e-02 6.28036009e-02 8.09016578e-02
 9.03457889e-02 1.16197685e-01 1.09354145e-01]","[0.06684844 0.38477523 0.39721009 0.32472256 0.35110532 1.
 0.95335931 0.99385985 0.98531848 0.445311   0.41899627 0.41549256
 0.41592533 0.40326611 0.37847826 0.42103731 0.43245353 0.4205217
 0.37821085 0.41865055 0.39737422 0.4121335  0.40394098]",0.22519828706933578,0.4745506159192461,0.41666278519505157,0.004468714312090254,0.06684844285464138,0.06684844285464138
BERBIGÃO,"[0.54422839 0.33900838 0.25033523 0.32617856 0.37062044 0.43115849
 0.51345967 0.52255956 0.60641828 0.55474388 0.67817201 0.95443303
 1.01048071 0.88035481 0.67680593 0.57527058 0.5272688  0.78363476
 0.89485561 0.72922326 0.35700221 0.54301397]","[0.42485207 0.35557298 0.47214629 0.36579265 0.58157171 0.42680089
 0.54498707 0.54506159 0.52622075 0.64469904 0.9188768  0.90020487
 0.82950609 0.76855716 0.53356211 0.59229599 0.83777264 0.76852252
 0.68428053 0.39999428 0.84530481 0.7892361 ]",0.036418903235895306,0.19083737379217758,0.14476256201841656,0.014250706344305015,0.1193763223771993,0.1193763223771993
ITAPU,"[3.76003648e-04 3.76003648e-04 3.76003648e-04 3.76003648e-04
 3.76003648e-04 3.76003648e-04 3.76003648e-04 3.76003648e-04
 3.76003648e-04 3.76003648e-04 3.76003648e-04 2.34447890e-01
 4.92711911e-01 6.63658962e-01 6.93628640e-01 7.63410023e-01
 7.59631507e-01]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.2389131  0.69655628
 0.63215321 0.68072907 0.6787139  0.70147207 1.        ]",0.020706856535342797,0.143898771834032,0.06930224206513842,1.4137874334028302e-07,0.0003760036480411899,0.0003760036480411899
ATAPU,"[1.02006024 1.02455749 1.00613458 0.93129521 0.82163292 0.62570089
 0.58781139 0.53666438 0.48550364 0.5504902  0.45494262 0.36337074
 0.41528255 0.48157618 0.46513974 0.38163808 0.36834138 0.45101634
 0.44910689 0.41149204]","[0.94948624 1.         0.98473418 0.58439222 0.59413144 0.94356994
 0.40918817 0.35176604 0.35695076 0.37948441 0.3700975  0.37014782
 0.37171688 0.36809157 0.34075597 0.31191576 0.37795386 0.37895301
 0.38652625 0.31493882]",0.0225960903000971,0.15031995975284554,0.11777369350056732,0.004980689308850935,0.07057399881578863,0.07057399881578863
MERO,"[0.22617704 0.29649096 0.22713026 0.27988209 0.31855742 0.17727484
 0.32330692 0.33246969 0.31221095 0.34866698 0.32531339 0.279463
 0.26948494 0.19530708]","[0.32432928 0.14581155 0.40588578 0.52457604 0.38086134 0.83344652
 0.79863789 0.8830256  1.         0.91649278 0.5782811  0.60097078
 0.98139983 0.95206993]",0.22357241917185997,0.4728344521837003,0.40824369129453114,0.009633860403427829,0.0981522307613425,0.0981522307613425
ATLANTA,"[0.38689582 0.46181718 0.41870267 0.31985475 0.30247264 0.35253913
 0.4205656  0.48147147 0.50947605 0.52874267 0.47709187 0.48750319
 0.45592112 0.43709512]","[0.36315076 0.34663267 0.01088695 0.09926171 0.17313069 0.48063063
 0.40544711 0.42239906 0.40181087 0.30278771 0.28566559 0.66224939
 0.09953552 0.13446925]",0.043862995544599805,0.20943494346598374,0.17555476825888344,0.0005638278625723043,0.02374505975086827,0.02374505975086827
NOROESTE DE SAPINHOÁ,"[0.48194418 0.48592107 0.27358424 0.34580227 0.29520474 0.13993817
 0.27570622 0.26488898 0.26175581 0.31060153 0.38889569 0.44502775]","[0.45861797 0.49420622 0.42122022 0.39643163 0.         0.38224112
 0.29014715 0.25415121 0.39445255 0.36989636 0.39151978 0.39864126]",0.016202979979552095,0.12729092654055157,0.08613043535150318,0.0005441121051043799,0.023326210688930593,0.023326210688930593
NORDESTE DE SAPINHOÁ,"[0.51490295 0.51137159 0.26847795 0.3146629  0.28069951 0.17804282
 0.29851929 0.33273845 0.25944826 0.30127735 0.42853972 0.45589962]","[0.45901801 0.49463715 0.42158757 0.39677735 0.         0.38257422
 0.29039952 0.25437202 0.39479545 0.37021826 0.39186004 0.39898866]",0.015673084220915765,0.12519218913700553,0.09811994181668009,0.003123127169831099,0.05588494582471293,0.05588494582471293
SUDOESTE DE SAPINHOÁ,"[0.49332748 0.50471678 0.28517532 0.33243144 0.28736289 0.14405401
 0.26121185 0.24049417 0.26653816 0.20659667 0.38121003 0.39773487]","[0.45890396 0.49451447 0.42148289 0.3966789  0.         0.38247951
 0.29032767 0.2543096  0.39469853 0.37012673 0.39176376 0.39889027]",0.01731159812870196,0.1315735464624328,0.09310833810056895,0.001184979232570295,0.03442352731156839,0.03442352731156839
SUL DE TUPI,"[0.67707733 0.69372272 0.7119633  0.72456613 0.72389689 0.73540953
 0.70475326 0.68325485 0.71097154 0.7206212  0.69639248]","[0.71341154 0.77214841 0.78813176 0.73805851 0.75958013 0.68785673
 0.65962121 0.79099043 0.7445496  0.75028113 0.68278646]",0.0029841074006681356,0.05462698418060561,0.047033491775516016,0.0013201742423154996,0.03633420210098881,0.03633420210098881
AnC_TUPI,"[0.34948293 0.34600524 0.34575033 0.45160102 0.49871299 0.43058377
 0.34519778 0.30728567 0.30344597 0.302054   0.2715515 ]","[0.33474116 0.47108733 0.50818944 0.39195425 0.44191247 0.27542115
 0.2098786  0.51482515 0.40702207 0.42032706 0.26365107]",0.014479240699987012,0.12032971661226088,0.10422555708274005,0.0002173197236163192,0.014741767994929211,0.014741767994929211
TAMBUATÁ,"[0.7952615  0.75787787 0.77628813 0.74401249 0.8031633  0.81316286
 0.77734189 0.83973108 0.81879055]","[0.878492   0.82977576 0.66275808 0.89641332 0.78856056 0.60106794
 0.82658766 0.7630499  0.96905958]",0.013810570161268052,0.11751838222707141,0.10266143293418438,0.0069273155056168295,0.0832304962475704,0.0832304962475704
